Command: python Edge.py --dataset-dir TuSimpleDatasetarchive/TUSimple/train_set/clips --episodes 200 --frame-sampling random --no-show
Run ID:  20260902_110013
Started: 2026-09-02T11:00:13.379373
Log file: logs\run_20260902_110013.log
=============================================================
DNN-Scissor Farsighted A2C Local Dataset Execution Loop
(seed=42, w_acc=0.7, w_delay=0.15, w_energy=0.15, frame_sampling=random)
=============================================================
Successfully loaded real dataset. Found 72520 frames.
Simulation will process batches of 30 frames per episode.
Episode 165/200 | Reward:   15.78 | Drops:  0 | E2E Latency: 0.474s | Energy: 28.18J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 170/200 | Reward:   15.24 | Drops:  0 | E2E Latency: 0.580s | Energy: 33.92J | Acc: 84.6% | Model choice L/M/H:  3.3%/96.7%/ 0.0%
Episode 175/200 | Reward:   15.50 | Drops:  0 | E2E Latency: 0.539s | Energy: 31.78J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 180/200 | Reward:   15.75 | Drops:  0 | E2E Latency: 0.481s | Energy: 28.60J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 185/200 | Reward:   15.25 | Drops:  0 | E2E Latency: 0.597s | Energy: 34.94J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 190/200 | Reward:   15.20 | Drops:  0 | E2E Latency: 0.609s | Energy: 35.60J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 195/200 | Reward:   15.18 | Drops:  0 | E2E Latency: 0.615s | Energy: 35.84J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 200/200 | Reward:   15.78 | Drops:  0 | E2E Latency: 0.474s | Energy: 28.17J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%

Training loop complete.
Successfully saved performance chart to 'results\dds_edge_vision_simulation_results_20260902_110013.png'.

Run 20260902_110013 complete. Log: logs\run_20260902_110013.log
